Год,Выпуск,Первая страница,Всего страниц,Название,Рубрика,Авторы,Художники,Дополнительно,Броская фраза,входит в сэмпл?,теги,ответы,сложность
2013,9,27,3,Душа требует душа,Словечки,Сергей Федин,Анастасия Мошина,,,,,,
2013,9,30,2,"Ответы, указания, решения",Ответы,,,,,,,,
2013,9,32,2,Наш конкурс,Олимпиады,,Леонид Гамарц,,,,,,
2013,9,34,1,Запутавшийся удав,Задачи в картинках,Хасслер Уитни,Ольга Демидова,,,,топология,,
2013,9,,,,,,,,"Рубрика ""Словечки"", задача о запутавшемся удаве, настоящая геометрия, задачи на подумать и всё остальное, как вы любите :)",,,,
2013,8,-1,1,Обложка,,,Наталья Гаврилова,,,,,,
2013,8,2,6,Вездесущая математика,Оглянись вокруг,Эмилия Александрова ; Владимир Лёвшин,Наталья Гаврилова,,космических?...комических?...ко-ни-чес-ких сечениях! и других красивых геометрических штуковинах.,,стереометрия,,
2013,8,8,1,Разрежь и сложи,Улыбнись,Игорь Акулич,Татьяна Ахметгалиева,,,,комбигеом,,
2013,8,9,3,Кто такие слепни и оводы?,Оглянись вокруг,Сергей Лысенков,Ирина Смирнова,Фото: нет ссылок,"О слепнях, оводах и прочих насекомых делах.",,биология,,
2013,8,12,4,Жидкое зеркало,Оглянись вокруг,Александр Бердников,,"Фото: Лидия Широнина, Фото 3-6: нет ссылок",О жидких зеркалах.,,физика,,
2013,8,16,2,Одиннадцать вопросов,Задачи в картинках,,Ольга Демидова,,,,смекалка,,
2013,8,18,3,Этот сложный плоский мир 2,Математические сюрпризы,Наташа Рожковская,Анастасия Мошина,,О стране Флатландии - продолжение рассказа на наших страницах.,,,,
2013,8,21,3,Мокроступы с растопыркой,Чудеса лингвистики,Ульяна Сидорова,Сергей Чуб,,,,,,
2013,8,24,2,Спички и фигуры,Наглядная математика,Андрей Меньщиков,Дарья Котова,,,,смекалка,,
2013,8,26,2,Запись чисел буквами,Преданья старины,Дмитрий Златопольский ; Марк Цайгер,Виктор Пяткин,Фото: нет ссылок,О старославянской записи...,,,,
2013,8,28,2,Исследовательские турниры,Олимпиады,,Леонид Гамарц,,,,,,
2013,8,30,2,"Ответы, указания, решения",Ответы,,,,,,,,
2013,8,32,2,Наш конкурс,Олимпиады,,Лидия Широнина,,,,,,
2013,8,34,1,В какую сторону крутится Земля?,Задачи в картинках,,Артём Костюкевич,,,,физика,,
